file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,193,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,7
style.css,194,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,13
style.css,195,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,31
style.css,196,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,14
style.css,197,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,13
style.css,198,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
style.css,199,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
style.css,200,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,9
style.css,201,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,17
style.css,202,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
style.css,203,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
style.css,204,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,9
style.css,205,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,9
style.css,206,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
style.css,207,css,e3b6a71e,JACK-coder0315,2025-05-18,10:19:34,-07:00,2025-05-18T10:19:34-07:00,0,0
style.css,208,css,e3b6a71e,JACK-coder0315,2025-05-18,10:19:34,-07:00,2025-05-18T10:19:34-07:00,0,11
style.css,209,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,16
style.css,210,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,12
style.css,211,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,19
style.css,212,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
style.css,213,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
style.css,214,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,16
style.css,215,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,13
style.css,216,css,d8558a5f,JACK-coder0315,2025-05-18,12:06:05,-07:00,2025-05-18T12:06:05-07:00,0,0
